Economy,Year,Economy Code,"Life expectancy at birth, female (years)"
Afghanistan,2023,AFG,67.536
Albania,2023,ALB,81.446
Algeria,2023,DZA,77.696
American Samoa,2023,ASM,75.838
Andorra,2023,AND,86.107
Angola,2023,AGO,67.144
Antigua and Barbuda,2023,ATG,80.294
Argentina,2023,ARG,79.875
Armenia,2023,ARM,81.000
Aruba,2023,ABW,78.779
Australia,2023,AUS,85.100
Austria,2023,AUT,84.000
Azerbaijan,2023,AZE,77.134
"Bahamas, The",2023,BHS,78.187
Bahrain,2023,BHR,81.987
Bangladesh,2023,BGD,76.373
Barbados,2023,BRB,78.615
Belarus,2023,BLR,79.065
Belgium,2023,BEL,84.600
Belize,2023,BLZ,76.495
Benin,2023,BEN,62.208
Bermuda,2023,BMU,85.742
Bhutan,2023,BTN,74.965
Bolivia,2023,BOL,71.145
Bosnia and Herzegovina,2023,BIH,80.903
Botswana,2023,BWA,71.698
Brazil,2023,BRA,78.983
British Virgin Islands,2023,VGB,80.049
Brunei Darussalam,2023,BRN,77.555
Bulgaria,2023,BGR,79.600
Burkina Faso,2023,BFA,63.222
Burundi,2023,BDI,65.697
Cabo Verde,2023,CPV,79.209
Cambodia,2023,KHM,73.187
Cameroon,2023,CMR,65.944
Canada,2023,CAN,83.890
Cayman Islands,2023,CYM,82.867
Central African Republic,2023,CAF,59.290
Chad,2023,TCD,57.014
Channel Islands,2023,CHI,83.200
Chile,2023,CHL,83.084
China,2023,CHN,80.926
Colombia,2023,COL,80.452
Comoros,2023,COM,68.932
"Congo, Dem. Rep.",2023,COD,64.038
"Congo, Rep.",2023,COG,67.461
Costa Rica,2023,CRI,83.420
Cote d'Ivoire,2023,CIV,64.132
Croatia,2023,HRV,81.700
Cuba,2023,CUB,80.520
Curacao,2023,CUW,80.823
Cyprus,2023,CYP,83.668
Czechia,2023,CZE,82.900
Denmark,2023,DNK,83.800
Djibouti,2023,DJI,68.510
Dominica,2023,DMA,74.545
Dominican Republic,2023,DOM,76.975
Ecuador,2023,ECU,80.139
"Egypt, Arab Rep.",2023,EGY,73.809
El Salvador,2023,SLV,76.264
Equatorial Guinea,2023,GNQ,65.661
Eritrea,2023,ERI,70.656
Estonia,2023,EST,83.100
Eswatini,2023,SWZ,66.953
Ethiopia,2023,ETH,70.726
Faroe Islands,2023,FRO,85.500
Fiji,2023,FJI,69.362
Finland,2023,FIN,84.400
France,2023,FRA,85.900
French Polynesia,2023,PYF,86.505
Gabon,2023,GAB,71.052
"Gambia, The",2023,GMB,67.534
