Economy,Year,Economy Code,"Life expectancy at birth, total (years)"
Afghanistan,2018,AFG,62.443
Albania,2018,ALB,79.238
Algeria,2018,DZA,75.555
American Samoa,2018,ASM,72.794
Andorra,2018,AND,84.242
Angola,2018,AGO,62.622
Antigua and Barbuda,2018,ATG,77.132
Argentina,2018,ARG,76.770
Armenia,2018,ARM,75.620
Aruba,2018,ABW,75.880
Australia,2018,AUS,82.749
Austria,2018,AUT,81.693
Azerbaijan,2018,AZE,73.016
"Bahamas, The",2018,BHS,74.062
Bahrain,2018,BHR,80.412
Bangladesh,2018,BGD,72.122
Barbados,2018,BRB,76.378
Belarus,2018,BLR,74.176
Belgium,2018,BEL,81.595
Belize,2018,BLZ,72.322
Benin,2018,BEN,59.710
Bermuda,2018,BMU,80.986
Bhutan,2018,BTN,71.711
Bolivia,2018,BOL,67.699
Bosnia and Herzegovina,2018,BIH,77.942
Botswana,2018,BWA,66.371
Brazil,2018,BRA,75.633
British Virgin Islands,2018,VGB,76.728
Brunei Darussalam,2018,BRN,74.992
Bulgaria,2018,BGR,74.963
Burkina Faso,2018,BFA,59.972
Burundi,2018,BDI,61.806
Cabo Verde,2018,CPV,74.840
Cambodia,2018,KHM,69.993
Cameroon,2018,CMR,61.189
Canada,2018,CAN,81.809
Cayman Islands,2018,CYM,78.835
Central African Republic,2018,CAF,52.297
Chad,2018,TCD,52.447
Channel Islands,2018,CHI,81.100
Chile,2018,CHL,80.559
China,2018,CHN,77.709
Colombia,2018,COL,76.579
Comoros,2018,COM,65.401
"Congo, Dem. Rep.",2018,COD,59.926
"Congo, Rep.",2018,COG,64.472
Costa Rica,2018,CRI,80.090
Cote d'Ivoire,2018,CIV,59.795
Croatia,2018,HRV,77.920
Cuba,2018,CUB,77.426
Curacao,2018,CUW,76.493
Cyprus,2018,CYP,81.556
Czechia,2018,CZE,79.029
Denmark,2018,DNK,80.954
Djibouti,2018,DJI,64.105
Dominica,2018,DMA,71.378
Dominican Republic,2018,DOM,73.555
