Economy,Year,Economy Code,Proportion of seats held by women in national parliaments (%)
Afghanistan,2019,AFG,27.869
Albania,2019,ALB,29.508
Algeria,2019,DZA,25.758
American Samoa,2019,ASM,
Andorra,2019,AND,46.429
Angola,2019,AGO,30.000
Antigua and Barbuda,2019,ATG,11.111
Argentina,2019,ARG,40.157
Armenia,2019,ARM,23.485
Aruba,2019,ABW,
Australia,2019,AUS,30.464
Austria,2019,AUT,39.344
Azerbaijan,2019,AZE,16.807
"Bahamas, The",2019,BHS,12.821
Bahrain,2019,BHR,15.000
Bangladesh,2019,BGD,20.630
Barbados,2019,BRB,20.000
Belarus,2019,BLR,40.000
Belgium,2019,BEL,42.000
Belize,2019,BLZ,9.375
Benin,2019,BEN,7.229
Bermuda,2019,BMU,
Bhutan,2019,BTN,14.894
Bolivia,2019,BOL,53.077
Bosnia and Herzegovina,2019,BIH,21.429
Botswana,2019,BWA,10.769
Brazil,2019,BRA,15.010
British Virgin Islands,2019,VGB,
Brunei Darussalam,2019,BRN,9.091
Bulgaria,2019,BGR,25.833
Burkina Faso,2019,BFA,13.386
Burundi,2019,BDI,36.364
Cabo Verde,2019,CPV,23.611
Cambodia,2019,KHM,20.000
Cameroon,2019,CMR,31.111
Canada,2019,CAN,28.994
Cayman Islands,2019,CYM,
Central African Republic,2019,CAF,8.571
Chad,2019,TCD,14.881
Channel Islands,2019,CHI,
Chile,2019,CHL,22.581
China,2019,CHN,24.941
Colombia,2019,COL,18.713
Comoros,2019,COM,6.061
"Congo, Dem. Rep.",2019,COD,10.000
"Congo, Rep.",2019,COG,11.258
Costa Rica,2019,CRI,45.614
Cote d'Ivoire,2019,CIV,10.980
Croatia,2019,HRV,20.530
Cuba,2019,CUB,53.223
Curacao,2019,CUW,
Cyprus,2019,CYP,17.857
Czechia,2019,CZE,22.500
Denmark,2019,DNK,39.106
Djibouti,2019,DJI,26.154
Dominica,2019,DMA,25.000
Dominican Republic,2019,DOM,26.842
Ecuador,2019,ECU,37.956
"Egypt, Arab Rep.",2019,EGY,14.933
El Salvador,2019,SLV,30.952
Equatorial Guinea,2019,GNQ,21.000
Eritrea,2019,ERI,22.000
Estonia,2019,EST,29.703
Eswatini,2019,SWZ,7.246
Ethiopia,2019,ETH,38.757
Faroe Islands,2019,FRO,
Fiji,2019,FJI,19.608
Finland,2019,FIN,47.000
France,2019,FRA,39.688
French Polynesia,2019,PYF,
Gabon,2019,GAB,17.910
"Gambia, The",2019,GMB,10.345
Georgia,2019,GEO,14.765
Germany,2019,DEU,30.889
Ghana,2019,GHA,13.091
Gibraltar,2019,GIB,
Greece,2019,GRC,20.667
Greenland,2019,GRL,
Grenada,2019,GRD,46.667
Guam,2019,GUM,
Guatemala,2019,GTM,19.375
Guinea,2019,GIN,22.807
Guinea-Bissau,2019,GNB,13.725
Guyana,2019,GUY,31.884
Haiti,2019,HTI,2.542
Honduras,2019,HND,21.094
"Hong Kong SAR, China",2019,HKG,
Hungary,2019,HUN,12.563
Iceland,2019,ISL,38.095
India,2019,IND,14.391
Indonesia,2019,IDN,17.391
"Iran, Islamic Rep.",2019,IRN,5.882
Iraq,2019,IRQ,25.228
Ireland,2019,IRL,22.152
Isle of Man,2019,IMN,
Israel,2019,ISR,23.333
Italy,2019,ITA,35.714
Jamaica,2019,JAM,17.460
Japan,2019,JPN,10.108
Jordan,2019,JOR,15.385
Kazakhstan,2019,KAZ,27.103
Kenya,2019,KEN,21.777
Kiribati,2019,KIR,6.522
"Korea, Dem. People's Rep.",2019,PRK,17.613
"Korea, Rep.",2019,KOR,16.667
Kosovo,2019,XKX,
Kuwait,2019,KWT,4.615
Kyrgyz Republic,2019,KGZ,19.167
Lao PDR,2019,LAO,27.517
Latvia,2019,LVA,30.000
Lebanon,2019,LBN,4.688
Lesotho,2019,LSO,23.333
Liberia,2019,LBR,12.329
Libya,2019,LBY,15.957
Liechtenstein,2019,LIE,12.000
