Economy,Year,Economy Code,"Maternal mortality ratio (modeled estimate, per 100,000 live births)"
Afghanistan,2019,AFG,601.000
Albania,2019,ALB,7.000
Algeria,2019,DZA,73.000
American Samoa,2019,ASM,
Andorra,2019,AND,11.000
Angola,2019,AGO,202.000
Antigua and Barbuda,2019,ATG,32.000
Argentina,2019,ARG,36.000
Armenia,2019,ARM,23.000
Aruba,2019,ABW,
Australia,2019,AUS,5.000
Austria,2019,AUT,7.000
Azerbaijan,2019,AZE,21.000
"Bahamas, The",2019,BHS,82.000
Bahrain,2019,BHR,17.000
Bangladesh,2019,BGD,157.000
Barbados,2019,BRB,36.000
Belarus,2019,BLR,1.000
Belgium,2019,BEL,4.000
Belize,2019,BLZ,61.000
Benin,2019,BEN,572.000
Bermuda,2019,BMU,
Bhutan,2019,BTN,52.000
Bolivia,2019,BOL,156.000
Bosnia and Herzegovina,2019,BIH,6.000
Botswana,2019,BWA,100.000
Brazil,2019,BRA,65.000
British Virgin Islands,2019,VGB,
Brunei Darussalam,2019,BRN,38.000
Bulgaria,2019,BGR,6.000
Burkina Faso,2019,BFA,274.000
Burundi,2019,BDI,449.000
Cabo Verde,2019,CPV,41.000
Cambodia,2019,KHM,149.000
Cameroon,2019,CMR,336.000
Canada,2019,CAN,12.000
Cayman Islands,2019,CYM,
Central African Republic,2019,CAF,1650.000
Chad,2019,TCD,958.000
Channel Islands,2019,CHI,
Chile,2019,CHL,11.000
China,2019,CHN,21.000
Colombia,2019,COL,66.000
Comoros,2019,COM,202.000
"Congo, Dem. Rep.",2019,COD,493.000
"Congo, Rep.",2019,COG,245.000
Costa Rica,2019,CRI,26.000
Cote d'Ivoire,2019,CIV,429.000
Croatia,2019,HRV,4.000
Cuba,2019,CUB,40.000
Curacao,2019,CUW,
Cyprus,2019,CYP,13.000
Czechia,2019,CZE,3.000
Denmark,2019,DNK,4.000
Djibouti,2019,DJI,194.000
Dominica,2019,DMA,41.000
Dominican Republic,2019,DOM,118.000
Ecuador,2019,ECU,62.000
"Egypt, Arab Rep.",2019,EGY,19.000
El Salvador,2019,SLV,40.000
Equatorial Guinea,2019,GNQ,198.000
Eritrea,2019,ERI,351.000
Estonia,2019,EST,6.000
Eswatini,2019,SWZ,96.000
Ethiopia,2019,ETH,269.000
Faroe Islands,2019,FRO,
Fiji,2019,FJI,34.000
Finland,2019,FIN,8.000
France,2019,FRA,8.000
French Polynesia,2019,PYF,
Gabon,2019,GAB,179.000
"Gambia, The",2019,GMB,422.000
Georgia,2019,GEO,22.000
Germany,2019,DEU,4.000
Ghana,2019,GHA,260.000
Gibraltar,2019,GIB,
Greece,2019,GRC,5.000
Greenland,2019,GRL,
Grenada,2019,GRD,48.000
Guam,2019,GUM,
Guatemala,2019,GTM,106.000
Guinea,2019,GIN,548.000
Guinea-Bissau,2019,GNB,598.000
Guyana,2019,GUY,107.000
Haiti,2019,HTI,351.000
Honduras,2019,HND,51.000
"Hong Kong SAR, China",2019,HKG,
Hungary,2019,HUN,13.000
Iceland,2019,ISL,4.000
India,2019,IND,101.000
Indonesia,2019,IDN,161.000
"Iran, Islamic Rep.",2019,IRN,18.000
Iraq,2019,IRQ,74.000
Ireland,2019,IRL,4.000
Isle of Man,2019,IMN,
Israel,2019,ISR,3.000
Italy,2019,ITA,7.000
Jamaica,2019,JAM,120.000
Japan,2019,JPN,5.000
Jordan,2019,JOR,35.000
Kazakhstan,2019,KAZ,11.000
Kenya,2019,KEN,176.000
Kiribati,2019,KIR,89.000
"Korea, Dem. People's Rep.",2019,PRK,66.000
"Korea, Rep.",2019,KOR,5.000
Kosovo,2019,XKX,
Kuwait,2019,KWT,7.000
Kyrgyz Republic,2019,KGZ,47.000
Lao PDR,2019,LAO,137.000
Latvia,2019,LVA,22.000
Lebanon,2019,LBN,15.000
Lesotho,2019,LSO,467.000
Liberia,2019,LBR,689.000
Libya,2019,LBY,65.000
Liechtenstein,2019,LIE,
Lithuania,2019,LTU,9.000
Luxembourg,2019,LUX,12.000
"Macao SAR, China",2019,MAC,
Madagascar,2019,MDG,462.000
Malawi,2019,MWI,260.000
Malaysia,2019,MYS,28.000
Maldives,2019,MDV,39.000
Mali,2019,MLI,416.000
Malta,2019,MLT,8.000
Marshall Islands,2019,MHL,168.000
Mauritania,2019,MRT,424.000
Mauritius,2019,MUS,67.000
Mexico,2019,MEX,43.000
"Micronesia, Fed. Sts.",2019,FSM,154.000
Moldova,2019,MDA,21.000
Monaco,2019,MCO,6.000
Mongolia,2019,MNG,45.000
Montenegro,2019,MNE,6.000
Morocco,2019,MAR,79.000
Mozambique,2019,MOZ,134.000
Myanmar,2019,MMR,195.000
Namibia,2019,NAM,175.000
Nauru,2019,NRU,267.000
Nepal,2019,NPL,170.000
Netherlands,2019,NLD,5.000
New Caledonia,2019,NCL,
New Zealand,2019,NZL,8.000
Nicaragua,2019,NIC,69.000
Niger,2019,NER,406.000
Nigeria,2019,NGA,1091.000
North Macedonia,2019,MKD,3.000
Northern Mariana Islands,2019,MNP,
Norway,2019,NOR,2.000
Oman,2019,OMN,14.000
Pakistan,2019,PAK,173.000
Palau,2019,PLW,84.000
Panama,2019,PAN,41.000
Papua New Guinea,2019,PNG,199.000
Paraguay,2019,PRY,58.000
Peru,2019,PER,60.000
Philippines,2019,PHL,92.000
Poland,2019,POL,2.000
Portugal,2019,PRT,15.000
Puerto Rico,2019,PRI,13.000
Qatar,2019,QAT,5.000
Romania,2019,ROU,14.000
Russian Federation,2019,RUS,12.000
Rwanda,2019,RWA,261.000
Samoa,2019,WSM,111.000
San Marino,2019,SMR,7.000
Sao Tome and Principe,2019,STP,95.000
Saudi Arabia,2019,SAU,8.000
Senegal,2019,SEN,286.000
Serbia,2019,SRB,12.000
Seychelles,2019,SYC,48.000
Sierra Leone,2019,SLE,464.000
Singapore,2019,SGP,7.000
Sint Maarten (Dutch part),2019,SXM,
Slovak Republic,2019,SVK,5.000
Slovenia,2019,SVN,4.000
Solomon Islands,2019,SLB,135.000
Somalia,2019,SOM,656.000
South Africa,2019,ZAF,119.000
South Sudan,2019,SSD,745.000
Spain,2019,ESP,3.000
Sri Lanka,2019,LKA,20.000
St. Kitts and Nevis,2019,KNA,74.000
St. Lucia,2019,LCA,43.000
St. Martin (French part),2019,MAF,
