Economy,Year,Economy Code,"Life expectancy at birth, female (years)"
Afghanistan,2022,AFG,67.236
Albania,2022,ALB,80.781
Algeria,2022,DZA,77.592
American Samoa,2022,ASM,75.794
Andorra,2022,AND,86.075
Angola,2022,AGO,66.753
Antigua and Barbuda,2022,ATG,80.154
Argentina,2022,ARG,78.318
Armenia,2022,ARM,78.300
Aruba,2022,ABW,78.691
Australia,2022,AUS,85.300
Austria,2022,AUT,83.600
Azerbaijan,2022,AZE,76.674
"Bahamas, The",2022,BHS,78.090
Bahrain,2022,BHR,81.809
Bangladesh,2022,BGD,76.051
Barbados,2022,BRB,78.274
Belarus,2022,BLR,79.002
Belgium,2022,BEL,83.900
Belize,2022,BLZ,75.104
Benin,2022,BEN,61.750
Bermuda,2022,BMU,85.566
Bhutan,2022,BTN,74.722
Bolivia,2022,BOL,70.255
Bosnia and Herzegovina,2022,BIH,80.728
Botswana,2022,BWA,71.247
Brazil,2022,BRA,78.094
British Virgin Islands,2022,VGB,79.935
Brunei Darussalam,2022,BRN,74.813
Bulgaria,2022,BGR,77.900
Burkina Faso,2022,BFA,62.558
Burundi,2022,BDI,64.916
Cabo Verde,2022,CPV,79.056
Cambodia,2022,KHM,73.072
Cameroon,2022,CMR,64.634
Canada,2022,CAN,83.540
Cayman Islands,2022,CYM,82.504
Central African Republic,2022,CAF,25.552
Chad,2022,TCD,56.471
Channel Islands,2022,CHI,83.200
Chile,2022,CHL,81.566
China,2022,CHN,81.133
Colombia,2022,COL,79.471
Comoros,2022,COM,68.617
"Congo, Dem. Rep.",2022,COD,63.116
"Congo, Rep.",2022,COG,66.629
Costa Rica,2022,CRI,82.197
Cote d'Ivoire,2022,CIV,63.731
Croatia,2022,HRV,80.700
Cuba,2022,CUB,80.098
Curacao,2022,CUW,80.763
Cyprus,2022,CYP,82.577
Czechia,2022,CZE,81.900
Denmark,2022,DNK,83.200
Djibouti,2022,DJI,68.089
Dominica,2022,DMA,74.572
Dominican Republic,2022,DOM,77.914
Ecuador,2022,ECU,79.473
"Egypt, Arab Rep.",2022,EGY,73.240
El Salvador,2022,SLV,76.164
Equatorial Guinea,2022,GNQ,65.261
Eritrea,2022,ERI,69.827
Estonia,2022,EST,82.300
Eswatini,2022,SWZ,65.859
Ethiopia,2022,ETH,70.313
Faroe Islands,2022,FRO,85.300
Fiji,2022,FJI,69.239
Finland,2022,FIN,83.800
France,2022,FRA,85.100
French Polynesia,2022,PYF,86.324
Gabon,2022,GAB,70.341
"Gambia, The",2022,GMB,66.500
Georgia,2022,GEO,79.048
Germany,2022,DEU,83.000
Ghana,2022,GHA,67.611
Gibraltar,2022,GIB,86.097
Greece,2022,GRC,83.400
Greenland,2022,GRL,73.410
Grenada,2022,GRD,78.269
Guam,2022,GUM,81.356
Guatemala,2022,GTM,73.719
Guinea,2022,GIN,61.605
Guinea-Bissau,2022,GNB,65.854
Guyana,2022,GUY,73.672
Haiti,2022,HTI,67.228
Honduras,2022,HND,75.345
"Hong Kong SAR, China",2022,HKG,86.770
Hungary,2022,HUN,79.300
Iceland,2022,ISL,83.400
India,2022,IND,73.271
Indonesia,2022,IDN,72.981
"Iran, Islamic Rep.",2022,IRN,78.813
Iraq,2022,IRQ,73.798
Ireland,2022,IRL,84.200
Isle of Man,2022,IMN,83.090
Israel,2022,ISR,84.800
Italy,2022,ITA,84.800
Jamaica,2022,JAM,73.979
Japan,2022,JPN,87.090
Jordan,2022,JOR,79.433
Kazakhstan,2022,KAZ,77.752
Kenya,2022,KEN,65.869
Kiribati,2022,KIR,67.896
"Korea, Dem. People's Rep.",2022,PRK,75.720
"Korea, Rep.",2022,KOR,85.600
Kosovo,2022,XKX,79.811
Kuwait,2022,KWT,81.100
Kyrgyz Republic,2022,KGZ,76.300
Lao PDR,2022,LAO,71.000
Latvia,2022,LVA,79.400
Lebanon,2022,LBN,79.864
Lesotho,2022,LSO,59.430
Liberia,2022,LBR,63.209
Libya,2022,LBY,77.152
Liechtenstein,2022,LIE,85.300
Lithuania,2022,LTU,80.100
Luxembourg,2022,LUX,85.200
"Macao SAR, China",2022,MAC,86.000
Madagascar,2022,MDG,64.801
Malawi,2022,MWI,69.379
Malaysia,2022,MYS,78.193
Maldives,2022,MDV,82.546
Mali,2022,MLI,61.527
Malta,2022,MLT,84.600
Marshall Islands,2022,MHL,69.115
Mauritania,2022,MRT,70.261
Mauritius,2022,MUS,77.100
Mexico,2022,MEX,76.966
"Micronesia, Fed. Sts.",2022,FSM,70.738
Moldova,2022,MDA,76.206
Monaco,2022,MCO,87.915
Mongolia,2022,MNG,76.700
Montenegro,2022,MNE,78.800
Morocco,2022,MAR,77.403
Mozambique,2022,MOZ,65.867
Myanmar,2022,MMR,69.935
Namibia,2022,NAM,68.072
Nauru,2022,NRU,64.005
Nepal,2022,NPL,71.560
Netherlands,2022,NLD,83.100
New Caledonia,2022,NCL,80.365
New Zealand,2022,NZL,83.700
Nicaragua,2022,NIC,76.935
Niger,2022,NER,61.344
Nigeria,2022,NGA,54.375
North Macedonia,2022,MKD,76.740
Northern Mariana Islands,2022,MNP,80.472
Norway,2022,NOR,84.200
Oman,2022,OMN,79.332
Pakistan,2022,PAK,69.928
Palau,2022,PLW,71.577
Panama,2022,PAN,82.313
Papua New Guinea,2022,PNG,68.284
Paraguay,2022,PRY,75.414
Peru,2022,PER,78.726
Philippines,2022,PHL,72.446
Poland,2022,POL,81.100
Portugal,2022,PRT,84.500
Puerto Rico,2022,PRI,83.580
Qatar,2022,QAT,82.804
Romania,2022,ROU,79.200
Russian Federation,2022,RUS,77.770
Rwanda,2022,RWA,69.625
Samoa,2022,WSM,73.486
San Marino,2022,SMR,87.127
Sao Tome and Principe,2022,STP,73.289
Saudi Arabia,2022,SAU,80.159
Senegal,2022,SEN,69.881
Serbia,2022,SRB,77.900
Seychelles,2022,SYC,77.800
Sierra Leone,2022,SLE,63.019
Singapore,2022,SGP,85.200
Sint Maarten (Dutch part),2022,SXM,79.284
Slovak Republic,2022,SVK,80.500
Slovenia,2022,SVN,84.100
Solomon Islands,2022,SLB,71.814
Somalia,2022,SOM,56.159
South Africa,2022,ZAF,69.037
South Sudan,2022,SSD,60.131
Spain,2022,ESP,85.900
Sri Lanka,2022,LKA,80.451
St. Kitts and Nevis,2022,KNA,74.200
St. Lucia,2022,LCA,76.304
St. Martin (French part),2022,MAF,83.845
St. Vincent and the Grenadines,2022,VCT,74.288
Sudan,2022,SDN,68.569
Suriname,2022,SUR,76.500
Sweden,2022,SWE,84.800
Switzerland,2022,CHE,85.500
Syrian Arab Republic,2022,SYR,75.204
Tajikistan,2022,TJK,73.776
Tanzania,2022,TZA,69.625
Thailand,2022,THA,79.790
Timor-Leste,2022,TLS,69.131
Togo,2022,TGO,62.476
Tonga,2022,TON,76.176
Trinidad and Tobago,2022,TTO,76.522
Tunisia,2022,TUN,78.712
Turkiye,2022,TUR,80.719
Turkmenistan,2022,TKM,72.682
Turks and Caicos Islands,2022,TCA,80.215
Tuvalu,2022,TUV,70.412
Uganda,2022,UGA,70.544
Ukraine,2022,UKR,79.413
United Arab Emirates,2022,ARE,82.115
United Kingdom,2022,GBR,83.018
United States,2022,USA,80.200
Uruguay,2022,URY,80.505
Uzbekistan,2022,UZB,75.346
Vanuatu,2022,VUT,73.761
"Venezuela, RB",2022,VEN,76.525
Vietnam,2022,VNM,79.211
Virgin Islands (U.S.),2022,VIR,83.700
West Bank and Gaza,2022,PSE,79.144
"Yemen, Rep.",2022,YEM,70.319
Zambia,2022,ZMB,67.717
Zimbabwe,2022,ZWE,64.544
