Economy,Year,Economy Code,"Life expectancy at birth, total (years)"
Afghanistan,2015,AFG,62.270
Albania,2015,ALB,78.358
Algeria,2015,DZA,75.159
American Samoa,2015,ASM,72.654
Andorra,2015,AND,84.532
Angola,2015,AGO,61.042
Antigua and Barbuda,2015,ATG,76.892
Argentina,2015,ARG,76.600
Armenia,2015,ARM,74.871
Aruba,2015,ABW,75.405
Australia,2015,AUS,82.400
Austria,2015,AUT,81.190
Azerbaijan,2015,AZE,72.349
"Bahamas, The",2015,BHS,73.805
Bahrain,2015,BHR,80.338
Bangladesh,2015,BGD,70.543
Barbados,2015,BRB,76.055
Belarus,2015,BLR,73.624
Belgium,2015,BEL,80.993
Belize,2015,BLZ,71.647
Benin,2015,BEN,59.123
Bermuda,2015,BMU,80.338
Bhutan,2015,BTN,70.797
Bolivia,2015,BOL,67.205
Bosnia and Herzegovina,2015,BIH,77.073
Botswana,2015,BWA,63.215
Brazil,2015,BRA,75.106
British Virgin Islands,2015,VGB,76.558
Brunei Darussalam,2015,BRN,74.880
Bulgaria,2015,BGR,74.615
Burkina Faso,2015,BFA,58.778
Burundi,2015,BDI,60.107
Cabo Verde,2015,CPV,74.096
Cambodia,2015,KHM,69.398
Cameroon,2015,CMR,59.687
Canada,2015,CAN,81.826
Cayman Islands,2015,CYM,78.119
Central African Republic,2015,CAF,51.934
Chad,2015,TCD,51.320
Channel Islands,2015,CHI,81.400
Chile,2015,CHL,80.008
China,2015,CHN,76.975
Colombia,2015,COL,76.067
Comoros,2015,COM,64.473
"Congo, Dem. Rep.",2015,COD,58.658
"Congo, Rep.",2015,COG,63.662
Costa Rica,2015,CRI,80.407
Cote d'Ivoire,2015,CIV,58.281
Croatia,2015,HRV,77.276
Cuba,2015,CUB,77.745
Curacao,2015,CUW,76.482
Cyprus,2015,CYP,81.464
Czechia,2015,CZE,78.578
Denmark,2015,DNK,80.702
Djibouti,2015,DJI,62.833
Dominica,2015,DMA,69.968
Dominican Republic,2015,DOM,72.982
Ecuador,2015,ECU,76.222
"Egypt, Arab Rep.",2015,EGY,70.135
El Salvador,2015,SLV,70.952
Equatorial Guinea,2015,GNQ,60.635
Eritrea,2015,ERI,65.909
Estonia,2015,EST,77.590
Eswatini,2015,SWZ,54.941
Ethiopia,2015,ETH,63.592
Faroe Islands,2015,FRO,81.793
Fiji,2015,FJI,66.480
Finland,2015,FIN,81.480
France,2015,FRA,82.322
French Polynesia,2015,PYF,82.339
Gabon,2015,GAB,66.336
"Gambia, The",2015,GMB,62.971
Georgia,2015,GEO,73.241
Germany,2015,DEU,80.641
Ghana,2015,GHA,63.175
Gibraltar,2015,GIB,82.668
Greece,2015,GRC,81.037
Greenland,2015,GRL,71.479
Grenada,2015,GRD,75.037
Guam,2015,GUM,76.444
Guatemala,2015,GTM,70.915
Guinea,2015,GIN,57.899
Guinea-Bissau,2015,GNB,60.071
Guyana,2015,GUY,67.719
Haiti,2015,HTI,63.224
Honduras,2015,HND,71.323
"Hong Kong SAR, China",2015,HKG,84.253
Hungary,2015,HUN,75.568
Iceland,2015,ISL,82.468
India,2015,IND,69.326
Indonesia,2015,IDN,69.520
"Iran, Islamic Rep.",2015,IRN,75.907
Iraq,2015,IRQ,69.977
Ireland,2015,IRL,81.454
Isle of Man,2015,IMN,80.267
Israel,2015,ISR,82.051
Italy,2015,ITA,82.544
Jamaica,2015,JAM,72.214
Japan,2015,JPN,83.794
Jordan,2015,JOR,75.060
Kazakhstan,2015,KAZ,72.024
Kenya,2015,KEN,62.279
Kiribati,2015,KIR,65.831
"Korea, Dem. People's Rep.",2015,PRK,72.825
"Korea, Rep.",2015,KOR,82.024
Kosovo,2015,XKX,76.024
Kuwait,2015,KWT,79.377
Kyrgyz Republic,2015,KGZ,70.651
Lao PDR,2015,LAO,66.688
Latvia,2015,LVA,74.480
Lebanon,2015,LBN,78.275
Lesotho,2015,LSO,51.830
Liberia,2015,LBR,59.248
Libya,2015,LBY,71.644
Liechtenstein,2015,LIE,82.656
Lithuania,2015,LTU,74.322
Luxembourg,2015,LUX,82.293
"Macao SAR, China",2015,MAC,83.224
Madagascar,2015,MDG,63.362
Malawi,2015,MWI,62.324
Malaysia,2015,MYS,75.288
Maldives,2015,MDV,78.607
Mali,2015,MLI,57.852
Malta,2015,MLT,81.898
Marshall Islands,2015,MHL,65.292
Mauritania,2015,MRT,66.498
Mauritius,2015,MUS,74.353
Mexico,2015,MEX,74.431
"Micronesia, Fed. Sts.",2015,FSM,65.306
Moldova,2015,MDA,70.118
Monaco,2015,MCO,85.323
Mongolia,2015,MNG,70.810
Montenegro,2015,MNE,76.602
Morocco,2015,MAR,72.894
Mozambique,2015,MOZ,58.711
Myanmar,2015,MMR,65.288
Namibia,2015,NAM,60.008
Nauru,2015,NRU,60.897
Nepal,2015,NPL,67.374
Netherlands,2015,NLD,81.510
New Caledonia,2015,NCL,77.206
New Zealand,2015,NZL,81.612
Nicaragua,2015,NIC,72.899
Niger,2015,NER,58.850
Nigeria,2015,NGA,51.939
North Macedonia,2015,MKD,75.402
Northern Mariana Islands,2015,MNP,77.360
Norway,2015,NOR,82.305
Oman,2015,OMN,79.346
Pakistan,2015,PAK,65.641
Palau,2015,PLW,69.070
Panama,2015,PAN,77.583
Papua New Guinea,2015,PNG,64.473
Paraguay,2015,PRY,73.454
Peru,2015,PER,75.732
Philippines,2015,PHL,69.450
Poland,2015,POL,77.451
Portugal,2015,PRT,81.124
Puerto Rico,2015,PRI,80.677
Qatar,2015,QAT,81.785
Romania,2015,ROU,74.912
Russian Federation,2015,RUS,71.183
Rwanda,2015,RWA,65.419
Samoa,2015,WSM,71.060
San Marino,2015,SMR,84.596
Sao Tome and Principe,2015,STP,66.023
Saudi Arabia,2015,SAU,77.776
Senegal,2015,SEN,66.451
Serbia,2015,SRB,75.288
Seychelles,2015,SYC,74.295
Sierra Leone,2015,SLE,55.454
Singapore,2015,SGP,82.744
Sint Maarten (Dutch part),2015,SXM,75.899
Slovak Republic,2015,SVK,76.563
Slovenia,2015,SVN,80.776
Solomon Islands,2015,SLB,69.323
Somalia,2015,SOM,55.056
South Africa,2015,ZAF,64.053
South Sudan,2015,SSD,39.757
Spain,2015,ESP,82.832
Sri Lanka,2015,LKA,75.990
St. Kitts and Nevis,2015,KNA,71.211
St. Lucia,2015,LCA,72.932
St. Martin (French part),2015,MAF,79.829
St. Vincent and the Grenadines,2015,VCT,70.463
Sudan,2015,SDN,64.375
Suriname,2015,SUR,70.567
Sweden,2015,SWE,82.205
Switzerland,2015,CHE,82.898
Syrian Arab Republic,2015,SYR,63.265
Tajikistan,2015,TJK,69.665
Tanzania,2015,TZA,63.928
Thailand,2015,THA,76.563
Timor-Leste,2015,TLS,65.326
Togo,2015,TGO,59.220
Tonga,2015,TON,71.851
Trinidad and Tobago,2015,TTO,72.882
Tunisia,2015,TUN,74.875
Turkiye,2015,TUR,76.539
Turkmenistan,2015,TKM,69.061
Turks and Caicos Islands,2015,TCA,77.321
Tuvalu,2015,TUV,65.365
Uganda,2015,UGA,63.831
Ukraine,2015,UKR,72.686
United Arab Emirates,2015,ARE,82.076
United Kingdom,2015,GBR,80.956
United States,2015,USA,78.690
Uruguay,2015,URY,77.285
Uzbekistan,2015,UZB,71.330
Vanuatu,2015,VUT,70.163
"Venezuela, RB",2015,VEN,73.004
Vietnam,2015,VNM,73.955
Virgin Islands (U.S.),2015,VIR,79.017
West Bank and Gaza,2015,PSE,74.577
"Yemen, Rep.",2015,YEM,66.761
Zambia,2015,ZMB,60.728
Zimbabwe,2015,ZWE,58.989
