Economy,Year,Economy Code,"Life expectancy at birth, total (years)"
Afghanistan,2022,AFG,65.617
Albania,2022,ALB,78.769
Algeria,2022,DZA,76.129
American Samoa,2022,ASM,72.752
Andorra,2022,AND,84.016
Angola,2022,AGO,64.246
Antigua and Barbuda,2022,ATG,77.483
Argentina,2022,ARG,75.806
Armenia,2022,ARM,74.766
Aruba,2022,ABW,76.226
Australia,2022,AUS,83.200
Austria,2022,AUT,81.295
Azerbaijan,2022,AZE,74.125
"Bahamas, The",2022,BHS,74.491
Bahrain,2022,BHR,80.992
Bangladesh,2022,BGD,74.265
Barbados,2022,BRB,75.676
Belarus,2022,BLR,74.103
Belgium,2022,BEL,81.749
Belize,2022,BLZ,72.190
Benin,2022,BEN,60.475
Bermuda,2022,BMU,82.062
Bhutan,2022,BTN,72.754
Bolivia,2022,BOL,67.434
Bosnia and Herzegovina,2022,BIH,76.777
Botswana,2022,BWA,68.749
Brazil,2022,BRA,74.872
British Virgin Islands,2022,VGB,77.177
Brunei Darussalam,2022,BRN,72.917
Bulgaria,2022,BGR,74.161
Burkina Faso,2022,BFA,60.700
Burundi,2022,BDI,62.882
Cabo Verde,2022,CPV,75.907
Cambodia,2022,KHM,70.528
Cameroon,2022,CMR,62.443
Canada,2022,CAN,81.245
Cayman Islands,2022,CYM,79.984
Central African Republic,2022,CAF,18.818
Chad,2022,TCD,54.528
Channel Islands,2022,CHI,81.000
Chile,2022,CHL,79.176
China,2022,CHN,78.202
Colombia,2022,COL,76.508
Comoros,2022,COM,66.481
"Congo, Dem. Rep.",2022,COD,60.979
"Congo, Rep.",2022,COG,65.000
Costa Rica,2022,CRI,79.316
Cote d'Ivoire,2022,CIV,61.562
Croatia,2022,HRV,77.576
Cuba,2022,CUB,77.629
Curacao,2022,CUW,76.729
Cyprus,2022,CYP,80.434
Czechia,2022,CZE,78.929
Denmark,2022,DNK,81.305
Djibouti,2022,DJI,65.540
Dominica,2022,DMA,71.081
Dominican Republic,2022,DOM,74.211
Ecuador,2022,ECU,76.577
"Egypt, Arab Rep.",2022,EGY,71.010
El Salvador,2022,SLV,71.969
Equatorial Guinea,2022,GNQ,63.355
Eritrea,2022,ERI,67.789
Estonia,2022,EST,77.844
Eswatini,2022,SWZ,63.028
Ethiopia,2022,ETH,66.897
Faroe Islands,2022,FRO,82.944
Fiji,2022,FJI,67.148
Finland,2022,FIN,81.188
France,2022,FRA,82.129
French Polynesia,2022,PYF,83.859
Gabon,2022,GAB,67.713
"Gambia, The",2022,GMB,64.859
Georgia,2022,GEO,74.141
Germany,2022,DEU,80.608
Ghana,2022,GHA,65.246
Gibraltar,2022,GIB,83.517
Greece,2022,GRC,80.788
Greenland,2022,GRL,71.540
Grenada,2022,GRD,75.151
Guam,2022,GUM,77.102
Guatemala,2022,GTM,71.206
Guinea,2022,GIN,60.432
Guinea-Bissau,2022,GNB,63.605
Guyana,2022,GUY,69.888
Haiti,2022,HTI,63.948
Honduras,2022,HND,72.715
"Hong Kong SAR, China",2022,HKG,83.661
Hungary,2022,HUN,75.868
Iceland,2022,ISL,82.120
India,2022,IND,71.698
Indonesia,2022,IDN,70.925
"Iran, Islamic Rep.",2022,IRN,76.799
Iraq,2022,IRQ,72.037
Ireland,2022,IRL,82.510
Isle of Man,2022,IMN,80.956
Israel,2022,ISR,82.700
Italy,2022,ITA,82.700
Jamaica,2022,JAM,71.481
Japan,2022,JPN,83.996
Jordan,2022,JOR,77.088
Kazakhstan,2022,KAZ,73.503
Kenya,2022,KEN,63.549
Kiribati,2022,KIR,66.269
"Korea, Dem. People's Rep.",2022,PRK,73.641
"Korea, Rep.",2022,KOR,82.680
Kosovo,2022,XKX,77.623
Kuwait,2022,KWT,80.588
Kyrgyz Republic,2022,KGZ,72.049
Lao PDR,2022,LAO,68.715
Latvia,2022,LVA,74.278
Lebanon,2022,LBN,78.003
Lesotho,2022,LSO,56.812
Liberia,2022,LBR,61.934
Libya,2022,LBY,74.462
Liechtenstein,2022,LIE,84.122
Lithuania,2022,LTU,75.644
Luxembourg,2022,LUX,82.946
"Macao SAR, China",2022,MAC,83.080
Madagascar,2022,MDG,63.068
Malawi,2022,MWI,66.037
Malaysia,2022,MYS,75.444
Maldives,2022,MDV,80.760
Mali,2022,MLI,60.035
Malta,2022,MLT,82.449
Marshall Islands,2022,MHL,66.725
Mauritania,2022,MRT,68.281
Mauritius,2022,MUS,73.515
Mexico,2022,MEX,73.973
"Micronesia, Fed. Sts.",2022,FSM,66.961
Moldova,2022,MDA,71.546
Monaco,2022,MCO,85.746
Mongolia,2022,MNG,71.901
Montenegro,2022,MNE,76.188
Morocco,2022,MAR,75.161
Mozambique,2022,MOZ,63.011
Myanmar,2022,MMR,66.506
Namibia,2022,NAM,64.190
Nauru,2022,NRU,61.930
Nepal,2022,NPL,70.087
Netherlands,2022,NLD,81.615
New Caledonia,2022,NCL,77.698
New Zealand,2022,NZL,81.959
Nicaragua,2022,NIC,74.463
Niger,2022,NER,60.398
Nigeria,2022,NGA,54.079
North Macedonia,2022,MKD,74.425
Northern Mariana Islands,2022,MNP,78.531
Norway,2022,NOR,82.510
Oman,2022,OMN,77.911
Pakistan,2022,PAK,67.417
Palau,2022,PLW,68.922
Panama,2022,PAN,79.324
Papua New Guinea,2022,PNG,65.274
Paraguay,2022,PRY,72.319
Peru,2022,PER,76.834
Philippines,2022,PHL,69.472
Poland,2022,POL,77.156
Portugal,2022,PRT,81.632
Puerto Rico,2022,PRI,79.427
Qatar,2022,QAT,81.857
Romania,2022,ROU,75.154
Russian Federation,2022,RUS,72.546
Rwanda,2022,RWA,67.528
Samoa,2022,WSM,71.550
San Marino,2022,SMR,85.708
Sao Tome and Principe,2022,STP,69.237
Saudi Arabia,2022,SAU,77.310
Senegal,2022,SEN,67.788
Serbia,2022,SRB,75.237
Seychelles,2022,SYC,73.702
Sierra Leone,2022,SLE,61.275
Singapore,2022,SGP,82.895
Sint Maarten (Dutch part),2022,SXM,76.180
Slovak Republic,2022,SVK,76.966
Slovenia,2022,SVN,81.283
