Economy,Year,Economy Code,"Life expectancy at birth, total (years)"
Afghanistan,2017,AFG,62.406
Albania,2017,ALB,78.900
Algeria,2017,DZA,75.431
American Samoa,2017,ASM,72.801
Andorra,2017,AND,84.359
Angola,2017,AGO,62.122
Antigua and Barbuda,2017,ATG,77.030
Argentina,2017,ARG,76.543
Armenia,2017,ARM,75.217
Aruba,2017,ABW,75.620
Australia,2017,AUS,82.500
Austria,2017,AUT,81.644
Azerbaijan,2017,AZE,72.694
"Bahamas, The",2017,BHS,74.031
Bahrain,2017,BHR,80.407
Bangladesh,2017,BGD,71.606
Barbados,2017,BRB,76.237
Belarus,2017,BLR,74.129
Belgium,2017,BEL,81.493
Belize,2017,BLZ,72.062
Benin,2017,BEN,59.528
Bermuda,2017,BMU,80.686
Bhutan,2017,BTN,71.413
Bolivia,2017,BOL,67.536
Bosnia and Herzegovina,2017,BIH,77.385
Botswana,2017,BWA,65.420
Brazil,2017,BRA,75.383
British Virgin Islands,2017,VGB,75.670
Brunei Darussalam,2017,BRN,74.943
Bulgaria,2017,BGR,74.815
Burkina Faso,2017,BFA,59.578
Burundi,2017,BDI,61.345
Cabo Verde,2017,CPV,74.710
Cambodia,2017,KHM,69.842
Cameroon,2017,CMR,60.817
Canada,2017,CAN,81.813
Cayman Islands,2017,CYM,78.615
Central African Republic,2017,CAF,45.231
Chad,2017,TCD,51.875
Channel Islands,2017,CHI,81.000
Chile,2017,CHL,80.610
China,2017,CHN,77.235
Colombia,2017,COL,76.418
Comoros,2017,COM,65.127
"Congo, Dem. Rep.",2017,COD,59.495
"Congo, Rep.",2017,COG,64.203
Costa Rica,2017,CRI,79.994
Cote d'Ivoire,2017,CIV,59.315
Croatia,2017,HRV,77.727
Cuba,2017,CUB,77.300
Curacao,2017,CUW,76.423
Cyprus,2017,CYP,81.543
Czechia,2017,CZE,78.978
Denmark,2017,DNK,81.102
Djibouti,2017,DJI,63.710
Dominica,2017,DMA,68.620
Dominican Republic,2017,DOM,73.370
Ecuador,2017,ECU,76.220
"Egypt, Arab Rep.",2017,EGY,70.709
El Salvador,2017,SLV,71.007
Equatorial Guinea,2017,GNQ,61.481
Eritrea,2017,ERI,66.612
Estonia,2017,EST,78.093
Eswatini,2017,SWZ,57.574
Ethiopia,2017,ETH,64.766
Faroe Islands,2017,FRO,82.144
Fiji,2017,FJI,67.060
Finland,2017,FIN,81.632
France,2017,FRA,82.576
French Polynesia,2017,PYF,82.774
Gabon,2017,GAB,66.816
"Gambia, The",2017,GMB,63.708
