Economy,Year,Economy Code,"Life expectancy at birth, total (years)"
Afghanistan,2016,AFG,62.646
Albania,2016,ALB,78.643
Algeria,2016,DZA,75.310
American Samoa,2016,ASM,72.640
Andorra,2016,AND,84.489
Angola,2016,AGO,61.619
Antigua and Barbuda,2016,ATG,76.968
Argentina,2016,ARG,76.105
Armenia,2016,ARM,74.868
Aruba,2016,ABW,75.540
Australia,2016,AUS,82.449
Austria,2016,AUT,81.641
Azerbaijan,2016,AZE,72.568
"Bahamas, The",2016,BHS,74.042
Bahrain,2016,BHR,80.407
Bangladesh,2016,BGD,71.075
Barbados,2016,BRB,76.168
Belarus,2016,BLR,73.827
Belgium,2016,BEL,81.439
Belize,2016,BLZ,71.843
Benin,2016,BEN,59.283
Bermuda,2016,BMU,80.476
Bhutan,2016,BTN,71.119
Bolivia,2016,BOL,67.392
Bosnia and Herzegovina,2016,BIH,77.124
Botswana,2016,BWA,64.320
Brazil,2016,BRA,75.081
British Virgin Islands,2016,VGB,76.624
Brunei Darussalam,2016,BRN,74.905
Bulgaria,2016,BGR,74.812
Burkina Faso,2016,BFA,59.173
Burundi,2016,BDI,60.789
Cabo Verde,2016,CPV,74.350
Cambodia,2016,KHM,69.635
Cameroon,2016,CMR,60.293
Canada,2016,CAN,81.940
Cayman Islands,2016,CYM,78.367
Central African Republic,2016,CAF,50.999
Chad,2016,TCD,51.603
Channel Islands,2016,CHI,81.200
Chile,2016,CHL,80.295
China,2016,CHN,77.214
Colombia,2016,COL,76.228
Comoros,2016,COM,64.792
"Congo, Dem. Rep.",2016,COD,59.081
"Congo, Rep.",2016,COG,63.911
Costa Rica,2016,CRI,79.988
Cote d'Ivoire,2016,CIV,58.814
Croatia,2016,HRV,77.922
Cuba,2016,CUB,77.571
Curacao,2016,CUW,76.322
Cyprus,2016,CYP,81.534
Czechia,2016,CZE,79.027
Denmark,2016,DNK,80.854
Djibouti,2016,DJI,63.335
Dominica,2016,DMA,71.189
Dominican Republic,2016,DOM,72.889
Ecuador,2016,ECU,76.094
"Egypt, Arab Rep.",2016,EGY,70.437
El Salvador,2016,SLV,70.908
Equatorial Guinea,2016,GNQ,61.081
Eritrea,2016,ERI,66.242
Estonia,2016,EST,77.641
Eswatini,2016,SWZ,56.228
Ethiopia,2016,ETH,64.162
Faroe Islands,2016,FRO,81.993
Fiji,2016,FJI,66.657
Finland,2016,FIN,81.429
France,2016,FRA,82.573
French Polynesia,2016,PYF,82.555
Gabon,2016,GAB,66.583
"Gambia, The",2016,GMB,63.386
Georgia,2016,GEO,73.136
Germany,2016,DEU,80.990
Ghana,2016,GHA,63.522
Gibraltar,2016,GIB,82.741
Greece,2016,GRC,81.388
Greenland,2016,GRL,71.839
Grenada,2016,GRD,75.010
Guam,2016,GUM,76.449
Guatemala,2016,GTM,71.215
Guinea,2016,GIN,58.490
Guinea-Bissau,2016,GNB,60.619
Guyana,2016,GUY,68.069
Haiti,2016,HTI,63.325
Honduras,2016,HND,71.615
"Hong Kong SAR, China",2016,HKG,84.211
Hungary,2016,HUN,76.063
Iceland,2016,ISL,82.205
India,2016,IND,69.709
Indonesia,2016,IDN,69.733
"Iran, Islamic Rep.",2016,IRN,76.155
Iraq,2016,IRQ,68.683
Ireland,2016,IRL,81.654
Isle of Man,2016,IMN,80.391
Israel,2016,ISR,82.407
Italy,2016,ITA,83.244
Jamaica,2016,JAM,72.052
Japan,2016,JPN,83.985
Jordan,2016,JOR,75.550
Kazakhstan,2016,KAZ,72.549
Kenya,2016,KEN,62.526
Kiribati,2016,KIR,65.799
"Korea, Dem. People's Rep.",2016,PRK,72.971
"Korea, Rep.",2016,KOR,82.276
Kosovo,2016,XKX,76.748
Kuwait,2016,KWT,79.678
Kyrgyz Republic,2016,KGZ,70.951
Lao PDR,2016,LAO,67.014
Latvia,2016,LVA,74.580
Lebanon,2016,LBN,78.306
Lesotho,2016,LSO,52.908
Liberia,2016,LBR,60.483
Libya,2016,LBY,71.799
Liechtenstein,2016,LIE,82.259
Lithuania,2016,LTU,74.671
Luxembourg,2016,LUX,82.685
"Macao SAR, China",2016,MAC,83.276
Madagascar,2016,MDG,63.431
Malawi,2016,MWI,63.163
Malaysia,2016,MYS,75.371
Maldives,2016,MDV,78.913
Mali,2016,MLI,58.286
Malta,2016,MLT,82.454
Marshall Islands,2016,MHL,65.477
Mauritania,2016,MRT,66.823
Mauritius,2016,MUS,74.395
Mexico,2016,MEX,74.376
"Micronesia, Fed. Sts.",2016,FSM,65.576
Moldova,2016,MDA,70.179
Monaco,2016,MCO,85.630
Mongolia,2016,MNG,70.224
Montenegro,2016,MNE,76.541
Morocco,2016,MAR,73.228
Mozambique,2016,MOZ,59.455
Myanmar,2016,MMR,65.640
Namibia,2016,NAM,60.810
Nauru,2016,NRU,60.996
Nepal,2016,NPL,68.444
Netherlands,2016,NLD,81.561
New Caledonia,2016,NCL,77.359
New Zealand,2016,NZL,81.659
Nicaragua,2016,NIC,73.180
Niger,2016,NER,59.228
Nigeria,2016,NGA,52.189
North Macedonia,2016,MKD,75.400
Northern Mariana Islands,2016,MNP,77.392
Norway,2016,NOR,82.407
Oman,2016,OMN,79.581
Pakistan,2016,PAK,65.943
Palau,2016,PLW,69.046
Panama,2016,PAN,77.772
Papua New Guinea,2016,PNG,64.700
Paraguay,2016,PRY,73.487
Peru,2016,PER,75.951
Philippines,2016,PHL,69.490
Poland,2016,POL,77.851
Portugal,2016,PRT,81.124
Puerto Rico,2016,PRI,80.355
Qatar,2016,QAT,82.147
Romania,2016,ROU,75.210
Russian Federation,2016,RUS,71.651
Rwanda,2016,RWA,65.733
Samoa,2016,WSM,71.003
San Marino,2016,SMR,84.775
Sao Tome and Principe,2016,STP,66.563
Saudi Arabia,2016,SAU,78.354
Senegal,2016,SEN,66.724
Serbia,2016,SRB,75.688
Seychelles,2016,SYC,74.310
Sierra Leone,2016,SLE,56.937
Singapore,2016,SGP,82.846
Sint Maarten (Dutch part),2016,SXM,75.952
Slovak Republic,2016,SVK,77.166
Slovenia,2016,SVN,81.176
Solomon Islands,2016,SLB,69.501
Somalia,2016,SOM,55.283
South Africa,2016,ZAF,64.749
South Sudan,2016,SSD,36.720
Spain,2016,ESP,83.329
Sri Lanka,2016,LKA,76.136
St. Kitts and Nevis,2016,KNA,71.227
St. Lucia,2016,LCA,72.552
St. Martin (French part),2016,MAF,79.885
St. Vincent and the Grenadines,2016,VCT,70.700
Sudan,2016,SDN,64.677
Suriname,2016,SUR,70.979
Sweden,2016,SWE,82.307
Switzerland,2016,CHE,83.602
Syrian Arab Republic,2016,SYR,65.190
Tajikistan,2016,TJK,69.982
Tanzania,2016,TZA,64.404
Thailand,2016,THA,76.769
Timor-Leste,2016,TLS,65.610
Togo,2016,TGO,59.669
Tonga,2016,TON,71.951
Trinidad and Tobago,2016,TTO,72.935
Tunisia,2016,TUN,75.007
Turkiye,2016,TUR,76.595
Turkmenistan,2016,TKM,69.142
Turks and Caicos Islands,2016,TCA,77.437
Tuvalu,2016,TUV,65.510
Uganda,2016,UGA,64.494
Ukraine,2016,UKR,73.389
United Arab Emirates,2016,ARE,82.195
United Kingdom,2016,GBR,81.156
United States,2016,USA,78.539
Uruguay,2016,URY,77.351
Uzbekistan,2016,UZB,71.580
Vanuatu,2016,VUT,70.397
"Venezuela, RB",2016,VEN,72.002
Vietnam,2016,VNM,73.984
Virgin Islands (U.S.),2016,VIR,79.168
West Bank and Gaza,2016,PSE,74.917
"Yemen, Rep.",2016,YEM,67.105
Zambia,2016,ZMB,61.129
Zimbabwe,2016,ZWE,59.760
