Economy,Year,Economy Code,"Life expectancy at birth, total (years)"
Afghanistan,2013,AFG,62.188
Albania,2013,ALB,77.995
Algeria,2013,DZA,74.809
American Samoa,2013,ASM,72.769
Andorra,2013,AND,84.406
Angola,2013,AGO,59.705
Antigua and Barbuda,2013,ATG,77.050
Argentina,2013,ARG,75.829
Armenia,2013,ARM,74.622
Aruba,2013,ABW,75.072
Australia,2013,AUS,82.149
Austria,2013,AUT,81.137
Azerbaijan,2013,AZE,71.485
"Bahamas, The",2013,BHS,73.930
Bahrain,2013,BHR,79.998
Bangladesh,2013,BGD,69.487
Barbados,2013,BRB,75.816
Belarus,2013,BLR,72.471
Belgium,2013,BEL,80.588
Belize,2013,BLZ,71.276
Benin,2013,BEN,58.863
Bermuda,2013,BMU,80.016
Bhutan,2013,BTN,70.161
Bolivia,2013,BOL,66.777
Bosnia and Herzegovina,2013,BIH,77.129
Botswana,2013,BWA,61.217
Brazil,2013,BRA,74.609
British Virgin Islands,2013,VGB,76.472
Brunei Darussalam,2013,BRN,74.854
Bulgaria,2013,BGR,74.861
Burkina Faso,2013,BFA,57.903
Burundi,2013,BDI,59.179
Cabo Verde,2013,CPV,73.481
Cambodia,2013,KHM,68.755
Cameroon,2013,CMR,58.730
Canada,2013,CAN,81.745
Cayman Islands,2013,CYM,77.652
Central African Republic,2013,CAF,49.487
Chad,2013,TCD,51.051
Channel Islands,2013,CHI,81.500
Chile,2013,CHL,79.551
China,2013,CHN,76.452
Colombia,2013,COL,75.834
Comoros,2013,COM,63.839
"Congo, Dem. Rep.",2013,COD,57.795
"Congo, Rep.",2013,COG,62.969
Costa Rica,2013,CRI,80.189
Cote d'Ivoire,2013,CIV,57.057
Croatia,2013,HRV,77.571
Cuba,2013,CUB,78.028
Curacao,2013,CUW,76.239
Cyprus,2013,CYP,81.317
Czechia,2013,CZE,78.176
Denmark,2013,DNK,80.300
Djibouti,2013,DJI,62.116
Dominica,2013,DMA,71.228
Dominican Republic,2013,DOM,73.038
Ecuador,2013,ECU,75.832
"Egypt, Arab Rep.",2013,EGY,69.632
