Economy,Year,Economy Code,"Life expectancy at birth, total (years)"
Afghanistan,2020,AFG,61.454
Albania,2020,ALB,77.824
Algeria,2020,DZA,73.257
American Samoa,2020,ASM,72.672
Andorra,2020,AND,79.418
Angola,2020,AGO,63.116
Antigua and Barbuda,2020,ATG,77.161
Argentina,2020,ARG,75.878
Armenia,2020,ARM,73.376
Aruba,2020,ABW,75.406
Australia,2020,AUS,83.200
Austria,2020,AUT,81.193
Azerbaijan,2020,AZE,70.312
"Bahamas, The",2020,BHS,72.994
Bahrain,2020,BHR,78.683
Bangladesh,2020,BGD,71.421
Barbados,2020,BRB,76.647
Belarus,2020,BLR,72.139
Belgium,2020,BEL,80.695
Belize,2020,BLZ,71.580
Benin,2020,BEN,60.154
Bermuda,2020,BMU,81.456
Bhutan,2020,BTN,72.253
Bolivia,2020,BOL,62.906
Bosnia and Herzegovina,2020,BIH,76.040
Botswana,2020,BWA,67.643
Brazil,2020,BRA,74.506
British Virgin Islands,2020,VGB,76.894
Brunei Darussalam,2020,BRN,75.114
Bulgaria,2020,BGR,73.356
Burkina Faso,2020,BFA,60.454
Burundi,2020,BDI,62.569
Cabo Verde,2020,CPV,73.818
Cambodia,2020,KHM,70.059
Cameroon,2020,CMR,61.674
Canada,2020,CAN,81.535
Cayman Islands,2020,CYM,79.230
Central African Republic,2020,CAF,50.596
Chad,2020,TCD,53.082
Channel Islands,2020,CHI,80.900
Chile,2020,CHL,79.349
China,2020,CHN,78.019
Colombia,2020,COL,74.757
Comoros,2020,COM,65.756
"Congo, Dem. Rep.",2020,COD,60.428
"Congo, Rep.",2020,COG,64.391
Costa Rica,2020,CRI,79.725
Cote d'Ivoire,2020,CIV,60.140
Croatia,2020,HRV,77.524
Cuba,2020,CUB,77.407
Curacao,2020,CUW,76.501
Cyprus,2020,CYP,81.230
Czechia,2020,CZE,78.227
Denmark,2020,DNK,81.602
Djibouti,2020,DJI,64.200
Dominica,2020,DMA,71.269
Dominican Republic,2020,DOM,72.636
Ecuador,2020,ECU,72.004
"Egypt, Arab Rep.",2020,EGY,69.790
El Salvador,2020,SLV,70.244
Equatorial Guinea,2020,GNQ,62.141
Eritrea,2020,ERI,66.980
Estonia,2020,EST,78.595
Eswatini,2020,SWZ,59.862
Ethiopia,2020,ETH,65.969
Faroe Islands,2020,FRO,82.644
Fiji,2020,FJI,66.924
Finland,2020,FIN,81.932
France,2020,FRA,82.176
French Polynesia,2020,PYF,82.459
Gabon,2020,GAB,67.073
"Gambia, The",2020,GMB,64.418
Georgia,2020,GEO,73.509
Germany,2020,DEU,81.041
Ghana,2020,GHA,64.309
Gibraltar,2020,GIB,83.070
Greece,2020,GRC,81.288
Greenland,2020,GRL,71.851
Grenada,2020,GRD,75.019
Guam,2020,GUM,75.529
Guatemala,2020,GTM,69.971
Guinea,2020,GIN,59.350
Guinea-Bissau,2020,GNB,61.343
Guyana,2020,GUY,67.751
Haiti,2020,HTI,63.773
Honduras,2020,HND,70.864
"Hong Kong SAR, China",2020,HKG,85.496
Hungary,2020,HUN,75.420
Iceland,2020,ISL,83.063
India,2020,IND,70.156
Indonesia,2020,IDN,68.817
"Iran, Islamic Rep.",2020,IRN,74.141
